geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
360670054003,"Block Group 3, Census Tract 54, Onondaga County, New York",235,187,48,36,067,005400,3,b25002
360670060004,"Block Group 4, Census Tract 60, Onondaga County, New York",540,468,72,36,067,006000,4,b25002
360670060003,"Block Group 3, Census Tract 60, Onondaga County, New York",639,593,46,36,067,006000,3,b25002
360670060002,"Block Group 2, Census Tract 60, Onondaga County, New York",348,323,25,36,067,006000,2,b25002
360670106001,"Block Group 1, Census Tract 106, Onondaga County, New York",484,436,48,36,067,010600,1,b25002
360670111012,"Block Group 2, Census Tract 111.01, Onondaga County, New York",432,432,0,36,067,011101,2,b25002
360670111014,"Block Group 4, Census Tract 111.01, Onondaga County, New York",169,169,0,36,067,011101,4,b25002
360670111013,"Block Group 3, Census Tract 111.01, Onondaga County, New York",530,455,75,36,067,011101,3,b25002
360670111021,"Block Group 1, Census Tract 111.02, Onondaga County, New York",421,397,24,36,067,011102,1,b25002
360670111022,"Block Group 2, Census Tract 111.02, Onondaga County, New York",954,879,75,36,067,011102,2,b25002
360670130002,"Block Group 2, Census Tract 130, Onondaga County, New York",407,349,58,36,067,013000,2,b25002
360670130005,"Block Group 5, Census Tract 130, Onondaga County, New York",436,385,51,36,067,013000,5,b25002
360670130004,"Block Group 4, Census Tract 130, Onondaga County, New York",407,352,55,36,067,013000,4,b25002
360670157003,"Block Group 3, Census Tract 157, Onondaga County, New York",599,581,18,36,067,015700,3,b25002
360670157004,"Block Group 4, Census Tract 157, Onondaga County, New York",885,787,98,36,067,015700,4,b25002
360670157001,"Block Group 1, Census Tract 157, Onondaga County, New York",634,511,123,36,067,015700,1,b25002
360670128001,"Block Group 1, Census Tract 128, Onondaga County, New York",355,355,0,36,067,012800,1,b25002
360670163002,"Block Group 2, Census Tract 163, Onondaga County, New York",416,375,41,36,067,016300,2,b25002
360670163003,"Block Group 3, Census Tract 163, Onondaga County, New York",418,324,94,36,067,016300,3,b25002
360670163006,"Block Group 6, Census Tract 163, Onondaga County, New York",295,244,51,36,067,016300,6,b25002
360670163004,"Block Group 4, Census Tract 163, Onondaga County, New York",385,335,50,36,067,016300,4,b25002
