GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction,pop,units,med_inc,shr_poc,shr_occ,District
360670050001,1.568634945,6.304353464,0.248817734,0.116198438,0.246604974,47.11925971,2.881716398,0.184552273,0.029273783,1039.0,623.0,54448.0,0.4283,0.7753,10
360670050002,1.37161153,4.713650666,0.290987098,0.131460499,0.134837935,97.4951887,2.992936378,0,0,1283.0,543.0,86196.0,0.1348,0.9466,10
360670051001,0.567361466,2.406941856,0.235718808,0.022326859,0.060661571,36.80560673,1.921289826,0.024820798,0.010312172,591.0,349.0,30417.0,0.8003,0.7822,10
360670051002,0.807090564,2.970737593,0.271680193,0.056223651,0.084913211,66.21307898,2.536430258,0,0,813.0,449.0,33250.0,0.8413,0.6325,11
360670051003,0.680880472,2.404885322,0.283123884,0.054446443,0.067313394,80.88500695,3.952494049,0.312637413,0.130000965,853.0,362.0,40391.0,0.7292,0.7956,10
360670052001,0.91690337,2.474561938,0.37053159,0.023162547,0.076518769,30.2704132,0.905462005,0.094092084,0.038023734,488.0,245.0,37292.0,0.7643,0.7796,11
360670052002,0.726708492,2.972316347,0.244492311,0.045557407,0.098484513,46.25844785,0.941809838,0.081909778,0.027557557,602.0,395.0,35337.0,0.8605,0.6557,10
360670052003,0.416559393,1.733481071,0.240302245,0.034582172,0.046763745,73.95081657,0.487702464,0,0,980.0,303.0,46648.0,0.7704,0.8614,10
360670053001,0.592368309,1.857699695,0.318871942,0.04493761,0.06550328,68.6036025,0.501520844,0,0,562.0,264.0,58333.0,0.9893,0.697,11
360670053002,1.32456575,3.372036433,0.392808849,0.025604899,0.137861181,18.57295786,0.874539889,0.237980764,0.07057479,1368.0,427.0,17176.0,0.8772,0.7752,11
360670054001,0.488506013,1.774236011,0.275333163,0.02878053,0.038264918,75.21388059,2.979002701,0.349248069,0.1968442,499.0,244.0,24417.0,0.9419,0.6762,11
360670054002,0.884955696,2.193111302,0.403516089,0.040309899,0.067034578,60.13299422,0.97261662,0,0,551.0,314.0,38162.0,0.8966,0.6847,11
360670054003,0.750051821,1.703518628,0.440295638,0.023071857,0.047664889,48.40430158,0.924091055,0,0,576.0,235.0,20104.0,0.6962,0.7957,11
360670054004,0.490695051,1.960217874,0.250326791,0.038982774,0.054529897,71.48880965,0.349966857,0,0,750.0,406.0,27232.0,0.8827,0.6502,11
360670055001,1.332329204,3.13086466,0.425546726,0.049099603,0.377464575,13.00773804,2.404886185,0.233168905,0.074474284,673.0,389.0,53269.0,0.6761,0.8226,8
360670055002,1.13354945,3.331362783,0.340265988,0.078278579,0.186004324,42.08427933,2.483567485,0.61933248,0.185909647,1862.0,940.0,18675.0,0.5467,0.9372,8
360670055003,1.153454018,4.604997192,0.250478767,0.022963333,0.345736423,6.641861218,1.884775117,0.397752516,0.086374106,1028.0,825.0,37284.0,0.5924,0.7503,8
360670056011,3.404891251,10.64237093,0.319937284,0.185761594,0.50554691,36.74468,1.865265357,0.418187239,0.039294556,1599.0,779.0,85417.0,0.1576,0.8909,8
360670056021,0.182032738,4.718784856,0.038576189,0.009096918,0.379747307,2.395518745,3.173102203,0.500049755,0.105970026,3950.0,165.0,,0.3997,0.3818,8
360670057001,0.487353895,3.04546503,0.160026101,0.084698687,0.18865502,44.89606856,3.370519065,0.708515943,0.232646225,815.0,402.0,56731.0,0.5178,0.8607,10
360670057002,1.691173501,4.95373261,0.34139378,0.085791644,0.255305678,33.60350037,2.679694245,0.132989719,0.026846366,986.0,496.0,35781.0,0.7323,0.7903,9
360670058001,0.572398474,2.596572109,0.220443897,0.055728282,0.108093123,51.55580756,0.754206395,0.012205579,0.004700651,753.0,365.0,25455.0,0.8207,0.6411,11
360670058002,0.603047177,2.743935071,0.21977458,0.04243017,0.092730517,45.75642536,1.035969782,0.046748554,0.017037048,395.0,255.0,16477.0,0.6354,0.6392,9
360670058003,0.250360798,1.580547058,0.158401357,0.054674105,0.072830789,75.07004411,0.355323037,0.106429226,0.067336955,834.0,375.0,28906.0,0.7854,0.696,9
360670059001,0.946728946,2.394104931,0.395441709,0.043565221,0.071977987,60.52575713,1.32001507,0.143430785,0.059909983,864.0,417.0,37560.0,0.8241,0.705,9
360670059002,0.384647384,2.040373224,0.188518149,0.057485067,0.068889969,83.44475759,0.635462884,0.315685871,0.154719669,727.0,318.0,35474.0,0.7882,0.8585,9
360670060001,1.20749347,3.870965948,0.311935958,0.084475345,0.188771356,44.75008653,0.888933165,0.168451276,0.0435166,367.0,216.0,68984.0,0.5886,0.6806,9
360670060002,1.588471348,4.112534437,0.386251197,0.182206038,0.792673043,22.98627913,1.367281952,0.707615462,0.172063109,796.0,348.0,70677.0,0.1533,0.9282,9
