X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,FID
-76.1706686501851,43.0500537073417,285             ,SNOW & ICE,2017/03/13 05:17:59+00,2017/03/13 05:17:59+00,139 GEDDES ST N & RICHMOND AV                     ,    Spreader On,-76.1706686501851,43.0500537073417,2028
-76.116682931371,43.032000406113,286             ,SNOW & ICE,2017/03/13 05:18:01+00,2017/03/13 05:18:02+00,353 ROOSEVELT AVE & KENSINGTO                     ,    Start Moving,-76.116682931371,43.032000406113,2029
-76.170472250126,43.0501192073613,285             ,SNOW & ICE,2017/03/13 05:18:04+00,2017/03/13 05:18:04+00,202 GEDDES ST N & RICHMOND AV                     ,    ,-76.170472250126,43.0501192073613,2030
-76.1058246288366,43.0457671090637,263             ,SNOW & ICE,2017/03/13 05:18:06+00,2017/03/13 05:18:06+00,555-57 SALT SPRINGS RD                            ,    ,-76.1058246288366,43.0457671090637,2031
-76.1153869325518,43.0542816102588,208             ,SNOW & ICE,2017/03/13 05:18:06+00,2017/03/13 05:18:07+00,338 PEAT ST & CANAL ST                            ,    ,-76.1153869325518,43.0542816102588,2032
-76.1700249499792,43.0500949073742,285             ,SNOW & ICE,2017/03/13 05:18:10+00,2017/03/13 05:18:10+00,254 RICHMOND AVE                                  ,    Plow Up,-76.1700249499792,43.0500949073742,2033
-76.1795277515722,43.0294152032054,210             ,SNOW & ICE,2017/03/13 05:18:18+00,2017/03/13 05:18:19+00,1017 STOLP AVE                                    ,    ,-76.1795277515722,43.0294152032054,2034
-76.1054667294129,43.0554022108484,265             ,SNOW & ICE,2017/03/13 05:18:24+00,2017/03/13 05:18:25+00,116 MIDLER RAMP DR W                              ,    ,-76.1054667294129,43.0554022108484,2035
-76.1184867319573,43.032015106046,286             ,SNOW & ICE,2017/03/13 05:18:25+00,2017/03/13 05:18:26+00,1049 WESTCOTT ST                                  ,    ,-76.1184867319573,43.032015106046,2036
-76.1102392309474,43.055201710627,216             ,SNOW & ICE,2017/03/13 05:18:32+00,2017/03/13 05:18:32+00,1200 CANAL ST                                     ,    ,-76.1102392309474,43.055201710627,2037
-76.1140036325029,43.0598432113343,262             ,SNOW & ICE,2017/03/13 05:18:33+00,2017/03/12 06:42:51+00,452 HICKOK AVE                                    ,    ,-76.1140036325029,43.0598432113343,2038
-76.1151959322837,43.0514154097395,261             ,SNOW & ICE,2017/03/13 05:18:35+00,2017/03/13 05:18:36+00,1915 ERIE BLVD E & PEAT ST & K                    ,    Start Moving,-76.1151959322837,43.0514154097395,2039
-76.1104259310239,43.0554236106605,216             ,SNOW & ICE,2017/03/13 05:18:38+00,2017/03/13 05:18:38+00,1200 CANAL ST                                     ,    ,-76.1104259310239,43.0554236106605,2040
-76.1644944464786,43.0263936032323,283             ,SNOW & ICE,2017/03/13 05:18:41+00,2017/03/13 05:18:41+00,116 ONONDAGA PARK DR SYRACUSE 13207               ,    ,-76.1644944464786,43.0263936032323,2041
-76.1148856321627,43.0511329096996,261             ,SNOW & ICE,2017/03/13 05:18:45+00,2017/03/13 05:18:46+00,2016 ERIE BLVD E & WESTMORELAN                    ,    ,-76.1148856321627,43.0511329096996,2042
-76.1186762321416,43.0337241063529,286             ,SNOW & ICE,2017/03/13 05:18:47+00,2017/03/13 05:18:48+00,959 WESTCOTT ST                                   ,    Plow Down,-76.1186762321416,43.0337241063529,2043
-76.1113491313244,43.055435110627,179             ,SNOW & ICE,2017/03/13 05:18:48+00,2017/03/13 05:18:49+00,1820 EB I 690 SYRACUSE 13210                      ,    ,-76.1113491313244,43.055435110627,2044
-76.1662462487402,43.0499139074874,285             ,SNOW & ICE,2017/03/13 05:18:51+00,2017/03/13 05:18:52+00,125 VAN RENSSELAER ST & RICHM                     ,    ,-76.1662462487402,43.0499139074874,2045
-76.1142807319789,43.0513059097548,261             ,SNOW & ICE,2017/03/13 05:18:51+00,2017/03/13 05:18:52+00,2016 ERIE BLVD E & WESTMORELAN                    ,    Spreader On,-76.1142807319789,43.0513059097548,2046
-76.1470132396547,43.0103431009571,267             ,SNOW & ICE,2017/03/13 05:18:53+00,2017/03/13 05:18:53+00,3029-31 MIDLAND AVE & BALLANTYNE                  ,    ,-76.1470132396547,43.0103431009571,2047
-76.1537466444715,43.0469511074272,178             ,SNOW & ICE,2017/03/13 05:18:58+00,2017/03/13 05:18:58+00,416-30 CLINTON ST S & JEFFERSON                   ,    ,-76.1537466444715,43.0469511074272,2048
-76.1050301283353,43.0423787084715,263             ,SNOW & ICE,2017/03/13 05:19:05+00,2017/03/13 05:19:05+00,2901 GENESEE ST E & EAST AVE                      ,    ,-76.1050301283353,43.0423787084715,2049
-76.1105176310238,43.0550082105807,208             ,SNOW & ICE,2017/03/13 05:19:06+00,2017/03/13 05:19:06+00,1244 CANAL ST SYRACUSE 13210                      ,    ,-76.1105176310238,43.0550082105807,2050
-76.1660534486316,43.0492741073773,285             ,SNOW & ICE,2017/03/13 05:19:06+00,2017/03/13 05:19:07+00,648-62 ERIE BLVD W & VAN RENSSEL                  ,    ,-76.1660534486316,43.0492741073773,2051
-76.1102442309459,43.0551581106188,208             ,SNOW & ICE,2017/03/13 05:19:12+00,2017/03/13 05:19:13+00,1200 CANAL ST                                     ,    ,-76.1102442309459,43.0551581106188,2052
-76.1125427316931,43.0551761105332,216             ,SNOW & ICE,2017/03/13 05:19:13+00,2017/03/13 05:19:13+00,1216 CANAL ST REAR                                ,    ,-76.1125427316931,43.0551761105332,2053
